numero,jogador,selecao
6,Roshon Van Eijma,Curaçao
7,Sherel Floranus,Curaçao
8,Deveron Fonville,Curaçao
9,Jurien Gaari,Curaçao
10,Armando Obispo,Curaçao
11,Shurandy Sambo,Curaçao
12,Juninho Bacuna,Curaçao
13,Leandro Bacuna,Curaçao
14,Livano Comenencia,Curaçao
15,Kevin Felida,Curaçao
16,AR'Jany Martha,Curaçao
17,Tyrese Noslin,Curaçao
18,Godfried Roemeratoe,Curaçao
19,Jeremy Antonisse,Curaçao
20,Tahith Chong,Curaçao
21,Kenji Gorré,Curaçao
22,Sontje Hansen,Curaçao
23,Gervane Kastaneer,Curaçao
24,Brandley Kuwas,Curaçao
25,Jurgen Locadia,Curaçao
26,Jearl Margaritha,Curaçao
1,Mohamed El Shenawy,Egito
2,Mostafa Shobeir,Egito
3,El Mahdy Soliman,Egito
4,Mohamed Alaa,Egito
5,Mohamed Hany,Egito
6,Tarek Alaa,Egito
7,Hamdi Fathi,Egito
8,Ramy Rabia,Egito
9,Yasser Ibrahim,Egito
10,Hossam Abdelmaguid,Egito
11,Mohamed Abdelmonem,Egito
12,Ahmed Fatouh,Egito
13,Karim Hafez,Egito
14,Marwan Attia,Egito
15,Mohannad Lasheen,Egito
16,Nabil Emad Dunga,Egito
17,Mahmoud Saber,Egito
18,Ahmed Sayed Zizo,Egito
19,Mahmoud Trezeguet,Egito
20,Emam Ashour,Egito
21,Mostafa Ziko,Egito
22,Ibrahim Adel,Egito
23,Haitham Hassan,Egito
24,Mohamed Salah,Egito
25,Omar Marmoush,Egito
26,Hamza Abdel Karim,Egito
1,Hernán Galíndez,Equador
2,Moisés Ramírez,Equador
3,Gonzalo Valle,Equador
4,Willian Pacho,Equador
5,Piero Hincapié,Equador
6,Joel Ordóñez,Equador
7,Jackson Porozo,Equador
8,Félix Torres,Equador
9,Pervis Estupiñán,Equador
10,Yaimar Medina,Equador
11,Ángelo Preciado,Equador
12,Moisés Caicedo,Equador
13,Jordy Alcívar,Equador
14,Pedro Vite,Equador
15,Denil Castillo,Equador
16,Alan Franco,Equador
17,Kendry Páez,Equador
18,Nilson Angulo,Equador
19,Gonzalo Plata,Equador
20,John Yeboah,Equador
21,Enner Valencia,Equador
22,Jordy Caicedo,Equador
23,Jeremy Arévalo,Equador
24,Alan Minda,Equador
25,Anthony Valencia,Equador
26,Kevin Rodríguez,Equador
1,Unai Simón,Espanha
2,David Raya,Espanha
